symbol,price,trailing_eps_ttm,base_q_eps,next_q_eps_est,next_year_eps_est,avg_payout_ratio,est_dividend,est_yield_%
1532.TW,23.35,0.2,0.05,0.274,1.1,7.508,8.24,35.3
2611.TW,14.9,0.19,0.048,0.128,0.51,8.667,4.45,29.87
1806.TW,8.78,0.32,0.08,0.076,0.31,4.861,1.49,16.94
2636.TW,65.8,8.18,2.045,2.304,9.22,0.946,8.72,13.25
2103.TW,19.1,0.12,0.03,0.075,0.3,8.383,2.51,13.12
2352.TW,23.75,0.93,0.233,0.28,1.12,2.651,2.97,12.52
2108.TW,24.95,0.92,0.23,0.229,0.91,3.261,2.98,11.95
2062.TW,20.85,0.39,0.098,0.289,1.16,2.144,2.48,11.9
1103.TW,13.6,0.42,0.105,0.242,0.97,1.599,1.55,11.39
2204.TW,55.6,5.12,1.28,1.283,5.13,1.043,5.35,9.63
2545.TW,37.25,3.79,0.948,0.782,3.13,1.145,3.58,9.61
2348.TW,69.9,4.79,1.198,1.31,5.24,1.257,6.59,9.42
2537.TW,10.25,0.55,0.138,0.203,0.81,1.182,0.96,9.38
3034.TW,374.5,28.68,7.17,7.562,30.25,1.144,34.61,9.24
2029.TW,21.2,1.05,0.263,0.369,1.47,1.253,1.85,8.72
1457.TW,15.3,0.42,0.105,0.145,0.58,2.29,1.33,8.69
2477.TW,23.6,1.71,0.427,0.528,2.11,0.969,2.05,8.68
2377.TW,95.0,5.4,1.35,1.624,6.5,1.244,8.08,8.51
2614.TW,20.65,1.97,0.492,0.473,1.89,0.929,1.76,8.5
2373.TW,56.3,3.84,0.96,0.933,3.73,1.276,4.76,8.46
1604.TW,24.15,1.64,0.41,0.431,1.72,1.183,2.04,8.44
2020.TW,23.85,1.9,0.475,0.553,2.21,0.907,2.01,8.42
1709.TW,16.65,1.02,0.255,0.289,1.15,1.196,1.38,8.3
1315.TW,63.7,1.64,0.41,0.329,1.31,3.871,5.09,7.99
2107.TW,25.2,1.62,0.405,0.506,2.02,0.992,2.01,7.96
1723.TW,68.9,2.65,0.662,0.881,3.52,1.532,5.4,7.83
2505.TW,18.8,1.68,0.42,0.514,2.06,0.714,1.47,7.81
1109.TW,15.35,1.09,0.273,0.266,1.06,1.083,1.15,7.5
2433.TW,46.8,3.06,0.765,0.801,3.2,1.092,3.5,7.47
1541.TW,24.4,1.45,0.362,0.439,1.76,1.034,1.82,7.45
3048.TW,36.0,1.18,0.295,0.381,1.52,1.758,2.68,7.44
1558.TW,95.4,5.53,1.383,1.467,5.87,1.196,7.02,7.36
2905.TW,15.85,0.38,0.095,0.177,0.71,1.624,1.15,7.24
1341.TW,60.0,3.99,0.998,0.775,3.1,1.389,4.31,7.18
1442.TW,27.65,3.79,0.948,0.83,3.32,0.596,1.98,7.16
3033.TW,30.25,1.44,0.36,0.34,1.36,1.582,2.15,7.11
1522.TW,42.35,0.96,0.24,0.455,1.82,1.646,2.99,7.07
2409.TW,15.3,0.73,0.182,0.175,0.7,1.542,1.08,7.06
2115.TW,23.8,2.02,0.505,0.595,2.38,0.7,1.67,7.0
1527.TW,33.1,1.37,0.343,0.348,1.39,1.657,2.31,6.97
2450.TW,29.9,1.72,0.43,0.478,1.91,1.087,2.08,6.96
2530.TW,26.6,2.49,0.623,0.688,2.75,0.663,1.83,6.86
2474.TW,185.5,12.97,3.243,3.352,13.41,0.944,12.65,6.82
2430.TW,23.0,0.99,0.247,0.108,0.43,3.624,1.56,6.79
1537.TW,123.0,8.24,2.06,1.92,7.68,1.08,8.3,6.75
1102.TW,34.3,3.54,0.885,0.76,3.04,0.761,2.31,6.74
1409.TW,14.9,1.2,0.3,0.322,1.29,0.775,1.0,6.71
3014.TW,119.0,9.47,2.368,2.465,9.86,0.803,7.91,6.65
1218.TW,17.9,1.3,0.325,0.356,1.43,0.831,1.18,6.61
2357.TW,518.0,46.6,11.65,14.878,59.51,0.575,34.23,6.61
2031.TW,38.0,2.4,0.6,0.606,2.42,1.035,2.51,6.6
2397.TW,58.2,4.03,1.008,1.129,4.52,0.844,3.81,6.55
2458.TW,137.0,7.96,1.99,1.987,7.95,1.119,8.89,6.49
1436.TW,54.6,6.04,1.51,1.347,5.39,0.655,3.53,6.46
2439.TW,82.1,5.02,1.255,1.334,5.34,0.991,5.29,6.44
2832.TW,49.35,4.6,1.15,1.386,5.55,0.568,3.15,6.39
2353.TW,26.7,1.37,0.343,0.336,1.34,1.253,1.68,6.3
3038.TW,22.35,1.17,0.292,0.289,1.15,1.214,1.4,6.27
2607.TW,54.6,6.76,1.69,1.539,6.16,0.553,3.41,6.24
1605.TW,33.05,0.37,0.092,0.163,0.65,3.161,2.06,6.23
2015.TW,66.7,3.85,0.963,1.023,4.09,1.013,4.15,6.21
1256.TW,169.0,9.59,2.397,2.939,11.76,0.885,10.41,6.16
1612.TW,34.6,2.64,0.66,0.731,2.92,0.727,2.13,6.15
1451.TW,18.3,1.76,0.44,0.483,1.93,0.58,1.12,6.12
2012.TW,16.75,0.33,0.083,0.078,0.31,3.279,1.02,6.09
2459.TW,66.1,5.48,1.37,1.464,5.86,0.679,3.97,6.01
